Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude ,Fines content (%),CPT qc (MPa)
0,72,0.5,6.9,14,12.453
1,74,0.5,6.9,15,6.403
0,69,0.5,6.9,19,10.235
1,82,0.5,6.9,5,9.680
0,60,0.6,6.9,5,12.604
1,43,0.5,6.9,5,10.638
0,171,0.7,6.9,0,21.478
0,124,0.6,6.9,10,10.739
0,44,0.6,6.9,0,16.890
0,79,0.6,6.9,6,19.461
0,72,0.6,6.9,10,12.100
1,51,0.5,6.9,0,12.403
0,50,0.7,6.9,3,18.049
0,37,0.6,6.9,0,18.654
0,29,0.6,6.9,10,20.570
1,44,0.4,6.9,8,10.638
1,49,0.4,6.9,0,9.025
0,78,0.6,6.9,10,20.217
0,41,0.5,6.9,6,14.671
0,83,0.5,6.9,50,14.066
1,73,0.4,6.9,9,12.201
1,55,0.5,6.9,6,9.529
0,36,0.6,6.9,3,15.932
1,79,0.35,6.9,0,9.731
1,94,0.5,6.9,5,9.630
0,59,0.6,6.9,0,20.016
1,50,0.4,6.9,0,7.563
1,46,0.4,6.9,10,6.101
1,55,0.35,6.9,20,7.663
1,43,0.4,6.9,5,4.185
0,80,0.4,6.9,18,8.960
1,115,0.4,6.9,2,5.912
1,96,0.34,6.9,20,3.973
0,125,0.4,6.9,20,13.264
0,140,0.4,6.9,20,11.394
0,135,0.4,6.9,20,20.218
1,123,0.34,6.9,20,6.311
1,107,0.4,6.9,25,11.952
1,146,0.34,6.9,20,7.187
1,46,0.25,6.9,20,6.719
1,70.364,0.19,7.6,61.2,1.265
1,64.386,0.19,7.6,25.3,4.583
1,34.653,0.19,7.6,18,2.465
1,52.254,0.19,7.6,49,1.816
0,52.842,0.19,7.6,9,2.194
0,73.206,0.19,7.6,8,4.454
0,72.442,0.19,7.6,33,1.215
0,42.218,0.19,7.6,27,1.375
0,65.399,0.19,7.6,55,1.077
0,324.65,0.19,7.6,11,14.503
0,132.91936,0.19,7.6,24,4.799
1,30.178,0.19,7.6,47,1.110
1,18.9532,0.19,7.6,7,1.259
1,58.1924,0.19,7.6,57,1.942
1,36.6128,0.19,7.6,19,1.863
0,29.4784,0.19,7.6,38,1.215
1,60.87107,0.19,7.6,31,1.486
1,44.1784,0.19,7.6,15,3.429
1,33.6767,0.19,7.6,59,1.330
0,103.2136,0.19,7.6,15,2.219
0,84.721,0.19,7.6,18,5.992
1,79.03896,0.19,7.6,53,1.395
1,66.052,0.21,7.6,35,1.735
1,91.19292,0.19,7.6,15,8.062
1,38.9648,0.19,7.6,36,1.511
1,39.004,0.19,7.6,38,2.123
1,47.5496,0.19,7.6,30,1.699
1,41.8656,0.428,7.6,55,0.682
1,70.17584,0.428,7.6,47,2.220
1,88.6459,0.428,7.6,54,2.352
1,81.5997,0.428,7.6,22,8.153
1,97.2258,0.428,7.6,18,3.153
1,98.83,0.428,7.6,25,16.363
1,36.0402,0.428,7.6,22,2.795
1,119.81,0.428,7.6,21,4.865
0,121.8414,0.428,7.6,63,5.052
1,53.41,0.428,7.6,24,2.168
0,96.0449,0.428,7.6,55,4.439
1,81.05907,0.428,7.6,35,1.660
1,68.4138,0.428,7.6,30,3.919
1,33.2612,0.789,7.6,10,11.119
1,194.3572,0.789,7.6,51,8.548
0,22.932,0.789,7.6,76,1.051
1,24.108,0.789,7.6,55,1.037
1,69.0655,0.789,7.6,20,7.012
0,16.66,0.789,7.6,65,0.499
1,89.0428,0.789,7.6,15,4.504
1,51.2834,0.789,7.6,69,2.420
1,37.8035,0.789,7.6,45,2.617
1,168.221,0.789,7.6,43,10.124
1,20.1096,0.789,7.6,30,0.960
1,22.5792,0.789,7.6,21,5.353
1,53,0.789,7.6,14,6.554
1,49,0.162,7.6,3,3.980
1,40,0.162,7.6,5,3.000
0,61,0.162,7.6,5,12.400
1,35.3,0.16,7.5,2.5,3.140
1,51,0.16,7.5,2.5,1.570
1,56.9,0.16,7.5,2.5,7.060
1,81.4,0.16,7.5,2.5,5.490
1,61.8,0.16,7.5,2.5,5.340
1,78.5,0.16,7.5,2.5,7.800
1,117.1,0.16,7.5,2.5,9.510
0,45.1,0.16,7.5,2.5,7.850
0,49,0.16,7.5,2.5,14.270
1,50,0.6,7.2,18,2.000
1,24,0.3,7.2,16,0.800
1,166.1,0.5,6.4,62,6.370
1,182.6,0.5,6.4,50,6.860
0,212.5,0.5,6.4,18,11.770
0,218.5,0.5,6.4,52,19.320
0,227.5,0.5,6.4,68,21.570
1,119.7,0.5,6.4,64,3.140
1,138.9,0.5,6.4,71,0.690
0,154.2,0.5,6.4,49,1.770
0,161.7,0.5,6.4,38,9.810
0,170.7,0.5,6.4,49,8.730
0,182.7,0.5,6.4,56,5.390
0,202.1,0.5,6.4,51,9.320
1,86.8,0.5,6.4,74,0.690
0,131.7,0.5,6.4,61,7.060
0,146.7,0.5,6.4,46,10.790
0,152.7,0.5,6.4,52,13.730
0,178.2,0.5,6.4,56,8.830
0,190.2,0.5,6.4,47,6.860
1,95.8,0.5,6.4,52,1.960
1,103.3,0.5,6.4,65,0.690
0,146.7,0.5,6.4,52,0.690
0,155.7,0.5,6.4,55,1.960
0,166.2,0.5,6.4,38,4.900
0,175.2,0.5,6.4,54,9.810
0,190.2,0.5,6.4,64,15.690
1,119.7,0.5,6.4,61,1.960
1,130.2,0.5,6.4,43,1.960
0,154.2,0.5,6.4,25,20.600
1,50,0.15,7.3,72,0.650
1,41.2,0.15,7.3,42,0.530
1,80.9,0.15,7.3,61,1.200
1,85,0.64,7.6,5,6.400
0,49,0.64,7.6,4,12.000
1,36,0.64,7.6,6,7.600
1,55,0.64,7.6,41,4.200
1,72,0.64,7.6,3,10.000
0,50,0.64,7.6,10,8.500
1,57,0.64,7.6,4,6.000
1,24,0.61,7.6,9,3.800
1,60,0.58,7.6,5,11.300
0,89,0.26,7.6,2,15.500
1,39,0.25,7.6,5,4.100
0,58,0.25,7.6,5,10.000
1,27,0.25,7.6,5,4.500
0,78,0.2,7.6,2,14.180
1,48,0.18,7.6,5,3.300
0,86,0.16,7.6,2,6.600
1,38,0.12,7.6,75,1.800
1,20,0.12,7.6,75,1.380
1,38,0.12,7.6,75,0.970
1,41.2,0.4,7.8,13,1.670
1,67.7,0.4,7.8,13,9.220
1,83.4,0.4,7.8,13,5.590
1,90.2,0.4,7.8,13,7.450
1,16.7,0.4,7.8,13,1.470
1,20.6,0.4,7.8,13,0.980
1,24.5,0.4,7.8,13,4.900
1,33.3,0.4,7.8,13,2.450
1,42.2,0.4,7.8,13,2.550
1,51,0.4,7.8,13,3.140
1,56.9,0.4,7.8,13,5.690
1,72.6,0.4,7.8,13,3.430
1,100,0.4,7.8,13,8.240
1,28.4,0.4,7.8,13,1.670
1,28.4,0.4,7.8,13,3.430
1,34.3,0.4,7.8,13,4.020
1,26.5,0.4,7.8,13,5.390
1,39.2,0.4,7.8,13,8.830
1,20.6,0.4,7.8,13,6.860
1,25.5,0.4,7.8,13,1.160
1,32.4,0.4,7.8,13,4.160
0,69.6,0.4,7.8,13,11.250
0,108.9,0.4,7.8,13,15.460
0,54.9,0.2,7.8,13,11.170
0,63.7,0.2,7.8,13,11.890
0,73.5,0.2,7.8,13,17.420
1,76.5,0.2,7.8,13,1.620
1,81.4,0.2,7.8,13,3.580
1,24.5,0.2,7.8,13,1.010
1,36.3,0.2,7.8,13,4.900
1,46.1,0.2,7.8,13,2.850
1,59.8,0.2,7.8,13,5.940
0,21.6,0.2,7.8,13,12.980
0,25.5,0.2,7.8,13,12.810
0,29.4,0.2,7.8,13,16.270
0,57.9,0.2,7.8,13,10.390
0,59.8,0.2,7.8,13,8.940
0,65.7,0.2,7.8,13,11.070
1,40.2,0.2,7.8,13,1.900
1,43.1,0.2,7.8,13,4.900
1,46.1,0.2,7.8,13,2.200
1,48.1,0.2,7.8,13,2.600
1,34.3,0.2,7.8,13,4.310
1,38.2,0.2,7.8,13,2.940
1,79.4,0.2,7.8,13,8.830
1,53.9,0.1,7.8,13,1.960
1,51,0.2,7.8,13,1.080
0,103.9,0.1,7.8,13,15.200
0,107.9,0.1,7.8,13,6.370
0,52,0.1,7.8,13,8.830
0,56.9,0.1,7.8,13,2.450
0,61.8,0.1,7.8,13,16.180
0,66.7,0.1,7.8,13,13.390
0,77.5,0.1,7.8,13,13.850
0,100,0.1,7.8,13,18.570
1,43.1,0.2,7.8,13,3.450
1,50,0.2,7.8,13,2.680
1,49,0.2,7.8,13,3.230
1,51,0.2,7.8,13,4.040
1,55.9,0.2,7.8,13,2.880
1,51,0.2,7.8,13,2.940
1,66.7,0.2,7.8,13,5.740
1,77.6,0.2,7.8,13,8.830
1,47.1,0.2,7.8,13,1.840
1,62.8,0.2,7.8,13,2.500
1,63.7,0.2,7.8,13,4.410
1,77.5,0.2,7.8,13,4.160
0,75.5,0.2,7.8,13,7.850
0,57.2,0.2,7.8,13,8.310
0,110.6,0.2,7.8,13,4.460
0,120.4,0.2,7.8,13,5.680
1,54.3,0.2,7.8,13,2.430
1,55.3,0.2,7.8,13,1.540
1,101.8,0.2,7.8,13,1.420
1,104.6,0.2,7.8,13,2.110
1,109.7,0.2,7.8,13,2.550
1,101.8,0.2,7.8,13,2.680
1,104.6,0.2,7.8,13,1.750
0,106.5,0.2,7.8,13,7.490
1,73.07,0.64,7.5,8.7,5.860
1,80.84,0.53,7.5,9.5,4.090
0,61.11,0.64,7.5,9.6,5.600
0,40.99,0.64,7.5,8.09,10.410
0,65.54,0.64,7.5,9.83,10.180
1,60.38,0.64,7.5,4.38,9.610
1,83.95,0.64,7.5,3,5.200
1,66.95,0.64,7.5,2.5,8.490
0,46.8,0.64,7.5,8.3,11.740
0,88.12,0.64,7.5,5,5.500
1,26.56,0.61,7.5,3.8,3.430
1,41.37,0.58,7.5,13.05,2.060
1,75.51,0.58,7.5,8.03,12.270
1,26.58,0.54,7.5,12,8.920
1,30.57,0.27,7.5,3.01,8.950
0,98.26,0.26,7.5,10,10.780
0,97.4,0.27,7.5,7.64,4.640
1,122.66,0.27,7.5,4.5,4.460
1,47.1,0.22,7.2,13,5.120
1,53.9,0.22,7.2,13,3.660
1,62.8,0.22,7.2,13,3.050
1,71.6,0.22,7.2,13,1.290
1,80.4,0.22,7.2,13,5.120
0,44.5,0.6,6.6,17.5,19.900
1,44.5,0.6,6.6,17.5,1.800
0,44.5,0.6,6.6,40,7.000
1,13.9,0.2,6.6,50,2.000
1,31.6,0.2,6.6,20,4.900
1,41,0.51,6.53,20,3.220
1,49,0.2,6.53,64,1.400
1,43,0.19,6.33,8,3.100
1,43,0.19,6.33,51,1.700
1,46,0.19,6.33,52,1.900
1,38,0.19,6.33,32,3.000
0,41,0.09,5.9,20,3.220
1,49,0.2,5.9,64,1.400
0,39,0.2,5.9,18,6.400
1,54,0.26,5.9,30,5.330
1,23,0.17,7.7,5,2.200
1,49,0.17,7.7,5,2.100
0,47,0.17,7.7,5,3.900
0,47.1,0.23,7.7,13,9.810
0,53,0.23,7.7,13,15.690
0,63.7,0.23,7.7,13,15.080
1,45.1,0.23,7.7,13,1.760
1,51,0.23,7.7,13,4.020
1,65.7,0.23,7.7,13,7.800
1,73.5,0.23,7.7,13,8.800
1,38,0.3,6.88,2,4.910
1,29,0.5,6.88,20,5.690
1,51,0.5,6.88,30,7.000
1,124,0.5,6.88,20,8.190
1,35,0.37,6.6,35,6.730
1,79,0.4,6.6,30,2.310
0,51,0.4,6.6,15,7.530
1,71,0.39,6.6,5,5.950
1,29,0.43,6.6,1,3.340
0,25,0.37,6.6,1,9.200
1,54,0.28,6.6,1,6.000
1,94,0.31,6.6,5,7.200
1,60,0.27,6.6,1,5.990
1,84,0.42,6.6,5,7.510
0,72,0.41,6.6,5,7.910
1,41,0.44,6.6,5,3.600
1,22,0.44,6.6,5,3.610
1,56,0.26,6.6,5,3.980
0,51,0.27,6.6,5,3.000
0,80,0.26,6.6,5,13.620
1,57,0.27,6.6,10,4.300
0,49,0.09,6.22,64,1.400
0,54,0.133,6.22,30,5.330
0,49,0.2,6.54,64,1.400
0,39,0.18,6.54,18,6.400
1,54,0.206,6.54,30,5.330
0,43.1,0.25,5.9,15,4.260
0,53.1,0.25,5.9,15,4.910
1,63,0.25,5.9,15,2.760
0,72.8,0.25,5.9,15,5.710
0,82.6,0.25,5.9,15,6.510
0,92.4,0.25,5.9,15,7.770
0,102.2,0.25,5.9,15,7.770
1,47,0.28,6.93,1,4.750
1,50,0.28,6.93,1,9.000
0,63,0.28,6.93,1,16.300
1,38,0.28,6.93,2,7.700
1,24,0.28,6.93,4,3.000
0,43,0.28,6.93,4,10.000
1,60,0.28,6.93,4,9.000
0,78,0.28,6.93,1,19.000
0,37,0.28,6.93,4,8.700
0,32,0.28,6.93,4,10.400
0,73,0.28,6.93,1,18.200
0,47,0.28,6.93,1,15.500
0,59,0.28,6.93,1,13.000
0,73,0.28,6.93,1,9.200
0,48,0.28,6.93,4,12.400
0,44,0.28,6.93,4,8.770
1,31,0.28,6.93,4,2.500
0,38,0.28,6.93,4,10.000
1,53,0.28,6.93,15,6.200
1,53,0.28,6.93,15,4.300
1,67,0.28,6.93,10,4.100
1,60,0.28,6.93,10,4.900
1,36,0.28,6.93,5,6.600
1,26,0.28,6.93,5,3.100
1,28,0.28,6.93,15,3.100
1,37,0.28,6.93,3,5.100
1,43,0.28,6.93,3,7.800
1,120,0.28,6.93,30,4.600
1,87,0.28,6.93,30,4.300
1,89,0.28,6.93,30,4.300
1,107,0.28,6.93,27,3.800
1,52,0.28,6.93,3,8.200
1,73,0.28,6.93,3,1.900
1,47,0.26,6.93,23,1.800
1,45,0.26,6.93,5,2.100
1,97,0.36,6.93,27,3.570
1,100,0.36,6.93,13,7.800
1,99,0.36,6.93,25,4.730
0,102,0.36,6.93,20,6.800
1,111,0.36,6.93,4,11.070
1,116,0.36,6.93,7,9.400
1,105,0.36,6.93,11,7.750
0,67,0.22,6.93,12,3.450
1,43,0.22,6.93,11,2.470
1,59,0.22,6.93,10,4.500
0,53,0.22,6.93,12,6.000
1,58,0.22,6.93,9,5.200
1,39,0.22,6.93,24,2.500
1,73,0.21,6.93,10,4.200
1,93,0.21,6.93,5,8.500
1,72,0.22,6.93,4,7.800
0,79,0.38,6.93,9,7.730
1,91,0.38,6.93,18,5.000
1,128,0.4,6.93,12,7.600
0,115,0.4,6.93,15,14.400
1,124,0.13,6.93,13,4.000
0,86,0.13,6.93,30,3.800
0,58,0.26,6.93,15,4.000
0,43,0.26,6.93,42,2.170
1,113,0.34,6.93,18,4.400
1,112,0.33,6.93,13,5.130
1,79,0.38,6.93,18,5.600
1,38,0.47,6.93,15,4.800
0,57,0.13,6.93,14,3.600
0,52,0.13,6.93,10,4.000
0,120,0.12,6.93,7,4.000
0,123,0.12,6.93,9,5.600
1,59,0.24,6.93,4,6.000
0,102,0.24,6.93,10,10.500
1,84,0.28,6.93,3,5.500
1,70,0.18,6.93,52,1.900
1,84,0.28,6.93,8,5.200
1,95,0.28,6.93,12,8.100
1,59,0.16,6.93,20,4.000
0,84,0.24,7.1,5,16.750
0,63,0.24,7.1,3,9.750
0,88.5,0.24,7.1,2,19.000
0,67.2,0.24,7.1,4,13.940
0,78.9,0.24,7.1,3,18.000
0,100.1,0.24,7.1,4,13.000
1,59.1,0.24,7.1,5,3.350
1,83.6,0.24,7.1,21,0.750
1,81.8,0.24,7.1,3,1.200
0,117.1,0.24,7.1,6,5.500
1,36.4,0.14,7.1,22.5,1.300
1,39.5,0.14,7.1,22.5,1.500
0,51.8,0.14,7.1,22.5,2.500
1,66.2,0.16,7.1,57,1.700
1,66.2,0.16,7.1,57,1.900
1,66.2,0.16,7.1,57,1.500
1,87.1,0.29,7.1,7,4.700
1,100.6,0.29,7.1,12,10.000
1,100.6,0.29,7.1,13,9.000
1,100.6,0.29,7.1,13,5.000
1,100.6,0.29,7.1,13,9.400
1,91.2,0.29,7.1,2.5,11.700
1,82.4,0.29,7.1,3,8.700
1,84.6,0.29,7.1,5,6.500
0,113.3,0.29,7.1,2.5,4.545
1,73.6,0.29,7.1,2.5,4.545
1,78,0.29,7.1,2.5,1.000
1,50.5,0.27,7.1,10,4.545
1,50.5,0.27,7.1,10,4.545
1,50.5,0.27,7.1,10,5.300
1,50.5,0.3,7.1,10,6.100
1,46.1,0.3,7.1,15,4.545
1,147,0.84,6.69,50,7.600
1,66,0.8,6.69,20,8.000
1,76,0.37,6.9,2,7.500
0,125,0.65,6.9,13,17.870
1,50,0.5,6.9,20,4.590
0,68,0.7,6.9,0,14.040
1,54,0.6,6.9,0,10.000
0,58,0.5,6.9,13,12.830
1,75,0.6,6.9,41,2.320
1,57,0.6,6.9,25,5.020
1,57,0.6,6.9,15,3.790
1,60,0.45,6.9,28,4.280
1,76,0.45,6.9,70,2.000
1,55,0.65,6.9,0,8.800
0,21,0.65,6.9,0,7.900
1,61,0.6,6.9,7,6.210
1,53,0.45,6.9,48,2.300
1,69,0.6,6.9,28,4.020
1,69,0.6,6.9,26,4.790
0,51,0.65,6.9,0,12.680
1,62,0.4,6.9,36,2.480
0,41,0.6,6.9,0,11.000
1,47,0.45,6.9,30,2.500
1,64,0.5,6.9,31,2.960
0,62,0.5,6.9,31,12.800
1,19,0.37,7.51,5,0.940
1,25,0.37,7.51,16,1.280
1,29,0.4,7.51,12,1.140
1,41,0.37,7.51,9,5.400
1,63,0.4,7.51,35,6.200
1,37,0.4,7.51,35,2.900
1,32,0.4,7.51,65,1.250
1,25,0.4,7.51,2,2.000
1,26,0.4,7.51,42,3.320
1,23,0.4,7.51,65,2.490
1,37,0.4,7.51,15,2.600
1,34,0.4,7.51,12,7.110
0,50,0.4,7.51,12,7.800
1,51,0.3,7.51,11,5.230
1,31,0.38,7.62,38,2.000
1,40,0.38,7.62,60,1.100
1,72,0.38,7.62,65,2.720
1,36,0.6,7.62,35,3.000
1,51,0.6,7.62,14,3.500
1,46,0.25,7.62,45,3.000
1,50,0.25,7.62,54,2.000
1,41,0.25,7.62,27,2.700
1,69,0.25,7.62,30,3.800
1,79,0.25,7.62,61,2.000
1,61,0.25,7.62,32,3.400
0,61,0.187,7,4,3.700
1,61,0.347,6.2,4,3.700
0,48,0.183,7,7,6.900
1,48,0.396,6.2,7,6.900
1,80,0.167,7,4,7.370
1,80,0.323,6.2,4,7.370
0,64,0.219,7,0,12.090
1,64,0.46,6.2,0,12.090
1,48,0.199,7,24,2.800
1,48,0.382,6.2,24,2.800
1,58,0.237,7,3,8.210
0,58,0.188,6.2,3,8.210
1,50,0.227,7,8,3.780
1,50,0.183,6.2,8,3.780
1,25,0.239,7,9,2.890
0,25,0.186,6.2,9,2.890
1,42,0.234,7,2,7.750
0,42,0.187,6.2,2,7.750
1,50,0.216,7,0,9.330
0,50,0.186,6.2,0,9.330
1,74,0.231,7,3,7.850
1,30,0.181,6.2,22,2.510
1,35,0.231,7,5,4.170
1,35,0.182,6.2,5,4.170
1,29,0.204,7,20,2.390
1,29,0.186,6.2,20,2.390
1,34,0.211,7,10,3.900
1,34,0.186,6.2,10,3.900
1,53,0.211,7,6,4.590
1,53,0.172,6.2,6,4.590
1,36,0.224,7,8,3.520
1,36,0.177,6.2,8,3.520
1,50,0.17,7,9,5.370
1,50,0.351,6.2,9,5.370
1,70,0.17,7,12,4.860
1,70,0.354,6.2,12,4.860
1,101,0.168,7,11,6.020
1,101,0.346,6.2,11,6.020
0,60,0.183,7,7,2.380
1,60,0.339,6.2,7,2.380
1,70,0.217,7,26,5.150
1,70,0.455,6.2,26,5.150
0,34,0.21,7,11,6.420
1,34,0.447,6.2,11,6.420
0,38,0.214,7,16,4.700
1,38,0.451,6.2,16,4.700
0,40,0.215,7,18,4.120
1,40,0.45,6.2,18,4.120
1,27,0.219,7,39,2.300
1,27,0.453,6.2,39,2.300
0,53,0.17,9,3,10.100
0,60,0.18,9,5,6.600
1,71,0.21,9,15,6.700
1,93,0.22,9,2,9.500
0,102,0.169,9,11,8.300
1,36,0.199,9,25,3.400
1,71,0.256,9,66,2.000
1,98,0.16,5.9,9,1.977
1,96,0.16,5.9,21,2.904
1,69,0.16,5.9,12,1.883
1,52,0.16,5.9,24,1.452
1,40,0.16,5.9,30,1.161
1,90,0.16,5.9,20,3.629
1,63,0.16,5.9,23,2.129
1,47,0.16,5.9,31,1.292
0,27,0.16,5.9,27,1.087
1,33,0.16,5.9,21,1.298
1,92,0.16,5.9,15,2.227
0,32,0.16,5.9,27,1.125
0,32,0.16,5.9,32,2.782
0,123,0.16,5.9,26,2.904
0,55,0.16,5.9,27,1.925
0,36,0.16,5.9,26,2.032
1,92,0.16,5.9,29,1.507
