Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude,Fines content (%),CPT qc (MPa)
Yes,43,0.28,6.93,2,10.88524461
No,73,0.28,6.93,5,24.47401402
Yes,86,0.27,6.93,8,4.54109448
Yes,46,0.28,6.93,1,5.325481265
Yes,67,0.28,6.93,1,10.75157444
Yes,67,0.16,6.93,20,2.932896068
Yes,25,0.28,6.93,35,3.586828385
No,68,0.25,7.7,19,11.94981196
Yes,90,0.25,7.7,19,6.238857652
Yes,68,0.4,7.6,2,9.150673633
No,118,0.4,7.6,0,17.24120825
Yes,47,0.47,7.6,5,11.45457255
Yes,143,0.84,6.69,50,5.305129918
No,101,0.51,6.69,25,13.90762821
Yes,88,0.43,6.69,64,3.350334206
Yes,105,0.51,6.69,33,5.130233266
No,103,0.4,6.9,15,19.91487152
No,54,0.4,6.9,1,18.45276702
Yes,116,0.35,6.9,1,3.075461171
No,72,0.4,6.9,21,8.974296531
Yes,60,0.4,6.9,0,5.49549619
Yes,65,0.5,6.9,0,12.15059249
Yes,64,0.5,6.9,2,6.150922342
No,107,0.6,6.9,9,13.81436657
Yes,62,0.5,6.9,5,4.285478681
No,72,0.5,6.9,14,12.45309687
Yes,74,0.5,6.9,15,6.403009323
No,69,0.5,6.9,19,10.23473144
Yes,82,0.5,6.9,5,9.680140079
No,60,0.6,6.9,5,12.60434906
Yes,43,0.5,6.9,5,10.63807061
No,171,0.7,6.9,0,21.4778108
No,124,0.6,6.9,10,10.7389054
No,44,0.6,6.9,0,16.88982774
No,79,0.6,6.9,6,19.46111495
No,72,0.6,6.9,10,12.1001751
Yes,51,0.5,6.9,0,12.40267948
No,50,0.7,6.9,3,18.04942785
No,37,0.6,6.9,0,18.65443661
No,29,0.6,6.9,10,20.57029767
Yes,44,0.4,6.9,8,10.63807061
Yes,49,0.4,6.9,0,9.024713927
No,78,0.6,6.9,10,20.21737589
No,41,0.5,6.9,6,14.67146231
No,83,0.5,6.9,50,14.06645355
Yes,73,0.4,6.9,9,12.20100989
Yes,55,0.5,6.9,6,9.52888789
No,36,0.6,6.9,3,15.93189721
Yes,79,0.35,6.9,0,9.730557475
Yes,94,0.5,6.9,5,9.629722682
No,59,0.6,6.9,0,20.01570631
Yes,50,0.4,6.9,0,7.562609436
Yes,46,0.4,6.9,10,6.100504945
Yes,55,0.35,6.9,20,7.663444229
Yes,43,0.4,6.9,5,4.184643888
No,80,0.4,6.9,18,8.960073516
Yes,115,0.4,6.9,2,5.912147238
Yes,96,0.34,6.9,20,3.973407945
No,125,0.4,6.9,20,13.26417064
No,140,0.4,6.9,20,11.39433161
No,135,0.4,6.9,20,20.21763455
Yes,123,0.34,6.9,20,6.310706737
Yes,107,0.4,6.9,25,11.95242545
Yes,146,0.34,6.9,20,7.187193784
Yes,46,0.25,6.9,20,6.718769779
Yes,70.364,0.19,7.6,61.2,1.264597798
Yes,64.386,0.19,7.6,25.3,4.582650106
